category_id,category_level,category_name,category_label,level1_category_id,level1_category_name,level2_category_id,level2_category_name,level3_category_id,level3_category_name
56aa371be4b08b9a8d573523,2,Film Studio,Business and Professional Services > Film Studio,4d4b7105d754a06375d81259,Business and Professional Services,56aa371be4b08b9a8d573523,Film Studio,N/A,N/A
63be6904847c3692a84b9ba8,2,Homeless Shelter,Community and Government > Homeless Shelter,63be6904847c3692a84b9b9a,Community and Government,63be6904847c3692a84b9ba8,Homeless Shelter,N/A,N/A
52939aed3cf9994f4e043a3c,6,Mineiro Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Mineiro Restaurant,63be6904847c3692a84b9bb5,Dining and Drinking,4d4b7105d754a06374d81259,Restaurant,4bf58dd8d48988d1be941735,Latin American Restaurant
53d6c1b0e4b02351e88a83de,4,Tsipouro Restaurant,Dining and Drinking > Restaurant > Greek Restaurant > Tsipouro Restaurant,63be6904847c3692a84b9bb5,Dining and Drinking,4d4b7105d754a06374d81259,Restaurant,4bf58dd8d48988d10e941735,Greek Restaurant
4bf58dd8d48988d1e4941735,2,Campground,Landmarks and Outdoors > Campground,4d4b7105d754a06377d81259,Landmarks and Outdoors,4bf58dd8d48988d1e4941735,Campground,N/A,N/A
63be6904847c3692a84b9bcc,3,Gastroenterologist,Health and Medicine > Physician > Gastroenterologist,63be6904847c3692a84b9bb9,Health and Medicine,63be6904847c3692a84b9bc6,Physician,63be6904847c3692a84b9bcc,Gastroenterologist
4bf58dd8d48988d14e941735,3,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,63be6904847c3692a84b9bb5,Dining and Drinking,4d4b7105d754a06374d81259,Restaurant,4bf58dd8d48988d14e941735,American Restaurant
4bf58dd8d48988d199941735,4,College Arts Building,Community and Government > Education > College and University > College Arts Building,63be6904847c3692a84b9b9a,Community and Government,4bf58dd8d48988d13b941735,Education,4d4b7105d754a06372d81259,College and University
4eb1c0253b7b52c0e1adc2e9,2,Garden Center,Retail > Garden Center,4d4b7105d754a06378d81259,Retail,4eb1c0253b7b52c0e1adc2e9,Garden Center,N/A,N/A
63be6904847c3692a84b9bbd,3,Ambulance Service,Health and Medicine > Emergency Service > Ambulance Service,63be6904847c3692a84b9bb9,Health and Medicine,63be6904847c3692a84b9bbc,Emergency Service,63be6904847c3692a84b9bbd,Ambulance Service
4bf58dd8d48988d16d941735,3,Café,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",63be6904847c3692a84b9bb5,Dining and Drinking,63be6904847c3692a84b9bb6,"Cafe, Coffee, and Tea House",4bf58dd8d48988d16d941735,Café
63be6904847c3692a84b9bfd,2,Athletic Field,Sports and Recreation > Athletic Field,4f4528bc4b90abdf24c9de85,Sports and Recreation,63be6904847c3692a84b9bfd,Athletic Field,N/A,N/A
4bf58dd8d48988d1c4941735,3,Restaurant,Dining and Drinking > Restaurant > Restaurant,63be6904847c3692a84b9bb5,Dining and Drinking,4d4b7105d754a06374d81259,Restaurant,4bf58dd8d48988d1c4941735,Restaurant
55a5a1ebe4b013909087cbb3,4,Molise Restaurant,Dining and Drinking > Restaurant > Italian Restaurant > Molise Restaurant,63be6904847c3692a84b9bb5,Dining and Drinking,4d4b7105d754a06374d81259,Restaurant,4bf58dd8d48988d110941735,Italian Restaurant
